#vrms_min vrms_max mean_concentration std_concentration n_halos
300.000 350.000 5.165 1.827 331476
350.000 400.000 4.987 1.658 181489
400.000 450.000 4.898 1.572 104301
450.000 500.000 4.863 1.551 61883
500.000 550.000 4.855 1.552 38218
550.000 600.000 4.860 1.564 24311
600.000 650.000 4.904 1.579 15632
650.000 700.000 4.907 1.575 10134
700.000 750.000 4.965 1.621 6804
750.000 800.000 5.003 1.674 4423
800.000 850.000 4.974 1.676 2973
850.000 900.000 5.034 1.698 2013
900.000 950.000 5.088 1.729 1456
950.000 1000.000 5.182 1.852 960
