#vrms_min vrms_max mean_concentration std_concentration n_halos
300.000 350.000 6.255 2.040 298101
350.000 400.000 5.990 1.901 169596
400.000 450.000 5.816 1.824 101540
450.000 500.000 5.690 1.797 63721
500.000 550.000 5.584 1.780 41371
550.000 600.000 5.515 1.769 27271
600.000 650.000 5.441 1.786 18565
650.000 700.000 5.373 1.749 12883
700.000 750.000 5.362 1.749 8896
750.000 800.000 5.310 1.850 6269
800.000 850.000 5.239 1.809 4459
850.000 900.000 5.250 1.794 3421
900.000 950.000 5.201 1.740 2337
950.000 1000.000 5.224 1.715 1747
