#log_min_mass log_max_mass mean_conc std_conc n_halos
12.500 12.600 7.139 1.944 84335
12.600 12.700 6.217 1.853 140385
12.700 12.800 5.940 1.830 119812
12.800 12.900 5.802 1.780 94098
12.900 13.000 5.691 1.737 74170
13.000 13.100 5.594 1.706 57219
13.100 13.200 5.501 1.664 44055
13.200 13.300 5.387 1.654 34548
13.300 13.400 5.337 1.622 25928
13.400 13.500 5.243 1.599 19591
13.500 13.600 5.150 1.577 14486
13.600 13.700 5.080 1.521 10682
13.700 13.800 4.969 1.491 7729
13.800 13.900 4.891 1.409 5235
13.900 14.000 4.747 1.307 3596
14.000 14.100 4.393 1.136 1955
14.100 14.200 3.522 0.709 298
