#vrms_min vrms_max mean_concentration std_concentration n_halos
300.000 350.000 5.940 2.014 313456
350.000 400.000 5.688 1.857 177155
400.000 450.000 5.532 1.778 105070
450.000 500.000 5.433 1.746 65020
500.000 550.000 5.354 1.731 41878
550.000 600.000 5.306 1.747 27662
600.000 650.000 5.264 1.753 18243
650.000 700.000 5.233 1.729 12351
700.000 750.000 5.211 1.746 8618
750.000 800.000 5.186 1.816 6069
800.000 850.000 5.169 1.799 4180
850.000 900.000 5.176 1.791 2961
900.000 950.000 5.108 1.722 2183
950.000 1000.000 5.045 1.675 1532
