#vrms_min vrms_max mean_concentration std_concentration n_halos
300.000 350.000 6.599 2.070 272531
350.000 400.000 6.336 1.916 157469
400.000 450.000 6.135 1.837 95357
450.000 500.000 5.994 1.807 60129
500.000 550.000 5.875 1.781 39622
550.000 600.000 5.789 1.772 26483
600.000 650.000 5.662 1.757 18407
650.000 700.000 5.582 1.748 12838
700.000 750.000 5.491 1.714 9114
750.000 800.000 5.461 1.792 6461
800.000 850.000 5.380 1.726 4806
850.000 900.000 5.389 1.790 3419
900.000 950.000 5.310 1.721 2621
950.000 1000.000 5.277 1.760 1936
