#vrms_min vrms_max mean_concentration std_concentration n_halos
300.000 350.000 6.407 2.054 287705
350.000 400.000 6.146 1.916 164450
400.000 450.000 5.959 1.848 98922
450.000 500.000 5.832 1.805 61915
500.000 550.000 5.718 1.775 40559
550.000 600.000 5.621 1.784 27147
600.000 650.000 5.558 1.796 18651
650.000 700.000 5.476 1.734 12835
700.000 750.000 5.433 1.775 8941
750.000 800.000 5.355 1.765 6439
800.000 850.000 5.357 1.790 4669
850.000 900.000 5.263 1.774 3451
900.000 950.000 5.254 1.746 2514
950.000 1000.000 5.157 1.657 1823
