SA2 0.48 1
SA6 0.58 1
SA7 0.25 0
SA9 0.62 1
SA10 0.49 1
SA12 0.74 1
SA14 0.45 0
SA19 1.19 0
SA21 0.39 0
SA22 0.44 1
SA23 0.61 1
SA27 0.18 1
SA30 0.43 1
SA33 0.64 1
SA36 0.35 1
SA39 0.61 1
SA40 0.55 0
SA46 0.43 0
SA47 0.80 1
SA48 0.238 1
SA50 0.511 1
SA55 0.38 1
SA63 0.48 1
SA66 0.35 1
SA67 0.45 1
SA71 0.36 0
SA72 0.64 1
SA76 0.77 0
SA78 0.74 1
SA79 0.76 1
SA80 1.00 1
SA83 0.89 0
SA84 0.77 1
SA85 0.65 0
SA87 0.54 1
SA89 0.42 1
SA90 0.53 1
SA91 0.56 1
SA96 0.39 1
SA97 0.416 1
SA100 0.63 1
SA102 0.69 1
SA103 0.47 1
SA105 0.47 0
SA112 0.50 1
SA113 0.67 1
SA118 0.30 0
SA119 0.38 0
SA121 0.62 1
SA122 0.69 0
SA123 1.00 1
SA124 0.83 1
SA125 0.74 1
SA127 0.334 1
SA1 0.46 1
SA3 0.37 0
SA4 0.37 0
SA5 0.65 0
SA8 0.33 1
SA11 0.62 1
SA13 0.29 1
SA15 0.43 1
SA16 0.55 0
SA17 0.73 0
SA18 0.38 1
SA20 0.77 0
SA24 1.05 0
SA25 0.48 0
SA26 0.69 1
SA28 0.86 1
SA29 0.72 1
SA31 0.27 1
SA32 1.05 0
SA34 0.46 0
SA35 0.45 0
SA37 0.79 1
SA38 0.71 0
SA41 0.52 0
SA42 0.98 1
SA43 0.36 0
SA44 1.13 0
SA45 0.68 1
SA49 0.62 1
SA51 0.17 0
SA52 0.53 1
SA53 0.55 1
SA54 0.45 1
SA56 0.27 0
SA57 0.52 0
SA58 0.46 1
SA59 0.79 1
SA60 0.70 0
SA61 0.51 1
SA62 0.37 0
SA64 0.43 0
SA65 0.98 0
SA68 0.42 1
SA69 0.05 0
SA70 0.29 1
SA73 0.40 0
SA74 0.36 1
SA75 0.63 0
SA77 0.42 0
SA81 0.69 0
SA82 0.69 0
SA86 0.46 1
SA88 0.87 0
SA92 0.50 1
SA93 1.22 0
SA94 0.51 1
SA95 0.49 1
SA98 0.52 1
SA99 0.32 1
SA101 0.87 1
SA104 0.15 0
SA106 0.74 1
SA107 0.69 0
SA108 0.86 1
SA109 0.39 1
SA110 0.18 1
SA111 0.52 1
SA114 0.83 1
SA115 0.39 0
SA116 0.57 1
SA117 0.43 1
SA120 0.46 1
SA126 0.78 0
SA0 0.38 1
