#log_min_mass log_max_mass mean_conc std_conc n_halos
12.500 12.600 5.080 1.619 155031
12.600 12.700 4.930 1.565 121553
12.700 12.800 4.851 1.520 93598
12.800 12.900 4.786 1.479 70984
12.900 13.000 4.739 1.459 53182
13.000 13.100 4.704 1.448 39349
13.100 13.200 4.673 1.430 29629
13.200 13.300 4.656 1.425 20919
13.300 13.400 4.650 1.405 15169
13.400 13.500 4.634 1.401 10747
13.500 13.600 4.618 1.386 7225
13.600 13.700 4.572 1.329 4868
13.700 13.800 4.490 1.220 2977
13.800 13.900 4.269 1.077 1754
13.900 14.000 3.727 0.800 590
