#vrms_min vrms_max mean_concentration std_concentration n_halos
300.000 350.000 5.259 1.836 328016
350.000 400.000 5.081 1.674 182026
400.000 450.000 4.970 1.591 104572
450.000 500.000 4.920 1.561 63536
500.000 550.000 4.901 1.558 39344
550.000 600.000 4.910 1.569 24941
600.000 650.000 4.931 1.583 16325
650.000 700.000 4.929 1.583 10901
700.000 750.000 5.004 1.663 7226
750.000 800.000 5.008 1.652 4858
800.000 850.000 5.006 1.673 3225
850.000 900.000 5.043 1.715 2369
900.000 950.000 5.016 1.686 1518
950.000 1000.000 5.112 1.718 1129
