#vrms_min vrms_max mean_concentration std_concentration n_halos
300.000 350.000 5.709 1.995 322274
350.000 400.000 5.480 1.820 182153
400.000 450.000 5.344 1.741 106851
450.000 500.000 5.255 1.719 65348
500.000 550.000 5.213 1.715 41758
550.000 600.000 5.187 1.706 27035
600.000 650.000 5.149 1.724 17633
650.000 700.000 5.157 1.737 11856
700.000 750.000 5.132 1.768 8230
750.000 800.000 5.128 1.786 5503
800.000 850.000 5.154 1.794 3961
850.000 900.000 5.176 1.866 2699
900.000 950.000 5.147 1.840 1950
950.000 1000.000 5.159 1.694 1383
