#OK
#SQL= select Xoff,  Rvir from miniMDR1..BDMW
#	where snapnum = 66 and Vrms between 300 and 1000
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1400 sec
#DATE 2013-02-09 04:17:56.199 CET
#QUERYTIME 1445 millisec
#COLUMN 1 name=Xoff JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 2 name=Rvir JDBC_TYPE=7 JDBC_TYPENAME=real
Xoff,Rvir
0.0881,0.0299
0.0809,0.6769
0.0465,0.0871
0.0842,0.3237
0.0931,0.3393
0.0352,0.4331
0.1208,0.2505
0.0981,0.2585
0.1032,0.1233
0.0843,0.192
0.1004,0.0554
0.3697,0.1445
0.1217,0.087
0.0356,0.5041
0.0453,0.5902
0.1847,0.3531
0.0411,0.3811
0.1024,0.3696
0.103,0.5434
0.0398,0.3104
0.0368,0.6726
0.0865,0.5481
0.0549,0.4026
0.1907,0.0806
0.0147,0.3807
0.0493,0.415
0.1164,0.4004
0.1991,0.2585
0.0882,0.3795
0.0324,0.2713
0.064,0.4904
0.0532,0.3542
0.1308,0.4103
0.0090,0.298
0.0864,0.5136
0.1024,0.4299
0.1122,0.029
0.1246,0.3559
0.028,0.4064
0.0744,0.3899
0.0442,0.461
0.1592,0.3175
0.0951,0.3791
0.0387,0.2375
0.0501,0.4459
0.0601,0.6265
0.0948,0.4323
0.0674,0.3292
0.0875,0.312
0.053,0.3901
0.1055,0.3489
0.1036,0.3596
0.0359,0.3331
0.0519,0.3394
0.0482,0.3373
0.0499,0.5397
0.1776,0.0763
0.0489,0.5193
0.0454,0.4388
0.0224,0.3331
0.0764,0.3701
0.0374,0.3299
0.0395,0.5019
0.0904,0.3626
0.0753,0.4918
0.1445,0.3084
0.0184,0.4267
0.0323,0.4606
0.1446,0.0428
0.0645,0.4337
0.0951,0.3088
0.1002,0.6191
0.0352,0.3729
0.1045,0.4507
0.0288,0.3104
0.0544,0.5253
0.1589,0.109
0.0572,0.3996
0.0253,0.4754
0.0573,0.2459
0.081,0.3567
0.0604,0.3095
0.0848,0.2365
0.0719,0.3734
0.0232,0.3922
0.0783,0.3287
0.0517,0.4544
0.1708,0.0744
0.1671,0.339
0.0707,0.5293
0.045,0.3418
0.0382,0.3469
0.0179,0.3798
0.1108,0.4669
0.077,0.3056
0.0237,0.4137
0.0543,0.3364
0.0333,0.5592
0.0532,0.311
0.0593,0.3649
0.0345,0.3239
0.03,0.5664
0.0672,0.3994
0.0273,0.3572
0.048,0.3084
0.0172,0.3158
0.0825,0.3274
0.0537,0.4049
0.1749,0.3611
0.0711,0.3416
0.0522,0.4676
0.0809,0.8263
0.1479,0.1699
0.0638,0.3503
0.0755,0.3102
0.024,0.6915
0.0515,0.1692
0.0646,0.3337
0.0793,0.4955
0.1279,0.4096
0.0463,0.3412
0.029,0.3305
0.0599,0.5578
0.0961,0.3639
0.1119,0.2115
0.0535,0.5176
0.1696,0.3396
0.0476,0.3274
0.0406,0.5256
0.0355,0.312
0.068,0.8892
0.0493,0.3101
0.0579,0.3148
0.0297,0.6541
0.0319,0.4019
0.0934,0.3411
0.0485,0.4219
0.067,0.3543
0.0321,0.4556
0.1129,0.344
0.0247,0.4233
0.0503,0.3211
0.0572,0.2995
0.033,0.3189
0.084,0.3362
0.0614,0.4091
0.0174,0.4834
0.0381,0.5025
0.0497,0.3354
0.0181,0.7741
0.0489,0.4616
0.0314,0.7171
0.0525,0.3214
0.0696,0.3303
0.0769,0.5292
0.1054,0.3937
0.0431,0.3247
0.1182,0.3808
0.0591,0.3303
0.1411,0.3111
0.0285,0.543
0.0394,0.3873
0.0404,0.3546
0.1092,0.3435
0.0541,0.3501
0.0819,0.3997
0.0784,0.7432
0.1622,0.3758
0.0972,0.3534
0.0499,0.476
0.1925,0.0421
0.0225,0.4501
0.0555,0.4383
0.0515,0.5765
0.0637,0.347
0.0674,0.3164
0.0475,0.3811
0.0256,0.3765
0.0334,0.3723
0.0367,0.4714
0.0211,0.3488
0.0514,0.4749
0.0278,0.3509
0.0547,0.4793
0.0238,0.6373
0.0149,0.5051
0.0367,0.3528
0.0576,0.3821
0.1545,0.0281
0.1902,0.0483
0.1159,0.2849
0.1504,0.3812
0.0061,0.3559
0.0253,0.3698
0.0488,0.3952
0.0825,0.4041
0.018,0.4143
0.0651,0.3468
0.0583,0.3448
0.0621,0.2989
0.1362,0.505
0.0447,0.4036
0.022,0.3019
0.1035,0.155
0.0932,0.5314
0.0147,0.6038
0.0344,0.4487
0.3427,0.2236
0.1239,0.409
0.1752,0.0347
0.0542,0.6506
0.1024,0.3468
0.0306,0.3519
0.1332,0.1294
0.0816,0.0482
0.0207,0.2236
0.0108,0.5768
0.0381,0.3273
0.0323,0.3582
0.0666,0.4812
0.1017,0.3282
0.0894,0.4216
0.032,0.5601
0.0971,0.3893
0.1792,0.4506
0.0667,0.3763
0.0174,0.6266
0.11,0.5252
0.0399,0.3121
0.0621,0.3037
0.1626,0.2218
0.0589,0.3808
0.1786,0.2139
0.0487,0.2868
0.0706,0.4485
0.0361,0.3958
0.0304,0.3327
0.091,0.2579
0.0304,0.3057
0.0311,0.4786
0.0231,0.313
0.0436,0.3409
0.1646,0.3666
0.1116,0.485
0.0722,0.3658
0.0689,0.3819
0.1348,0.5997
0.0378,0.4204
0.1527,0.1871
0.065,0.9238
0.0157,0.3685
0.0179,0.4196
0.0946,0.2998
0.0709,0.3211
0.189,0.3211
0.145,0.3028
0.0742,0.3317
0.0144,0.5618
0.0407,0.7099
0.0602,0.4076
0.0363,0.3432
0.0899,0.4847
0.0191,0.3982
0.0067,0.4702
0.0286,0.3888
0.0562,0.2313
0.0113,0.7142
0.0405,0.4371
0.018,0.3288
0.0365,0.4006
0.0844,0.3196
0.0219,0.8825
0.0444,0.3789
0.0368,0.6419
0.088,0.3305
0.0987,0.316
0.0084,0.5461
0.1351,0.5562
0.0833,0.3293
0.0338,0.3474
0.0392,0.4829
0.0569,0.401
0.0612,0.334
0.0352,0.5414
0.0075,0.4394
0.0696,0.3068
0.1429,0.0663
0.0377,0.337
0.0542,0.3426
0.0293,0.2237
0.1217,0.3257
0.0555,0.1896
0.0653,0.0419
0.0834,0.3544
0.0946,0.4721
