#log_min_mass log_max_mass mean_conc std_conc n_halos
12.500 12.600 6.615 1.871 115664
12.600 12.700 5.875 1.837 142507
12.700 12.800 5.689 1.796 115986
12.800 12.900 5.568 1.735 90038
12.900 13.000 5.472 1.704 70697
13.000 13.100 5.383 1.668 53899
13.100 13.200 5.303 1.627 41421
13.200 13.300 5.217 1.608 31925
13.300 13.400 5.151 1.587 23872
13.400 13.500 5.098 1.597 17628
13.500 13.600 4.989 1.542 12894
13.600 13.700 4.923 1.480 9397
13.700 13.800 4.836 1.445 6669
13.800 13.900 4.711 1.355 4378
13.900 14.000 4.564 1.220 2811
14.000 14.100 4.096 1.049 1145
14.100 14.200 3.241 0.699 96
