#vrms_min vrms_max mean_concentration std_concentration n_halos
300.000 350.000 6.054 2.031 308707
350.000 400.000 5.795 1.870 174971
400.000 450.000 5.629 1.806 104203
450.000 500.000 5.537 1.771 64547
500.000 550.000 5.421 1.746 41695
550.000 600.000 5.383 1.759 27824
600.000 650.000 5.332 1.758 18384
650.000 700.000 5.279 1.765 12666
700.000 750.000 5.245 1.740 8817
750.000 800.000 5.201 1.751 6040
800.000 850.000 5.160 1.751 4289
850.000 900.000 5.224 1.834 3159
900.000 950.000 5.160 1.787 2211
950.000 1000.000 5.132 1.736 1607
