#log_min_mass log_max_mass mean_conc std_conc n_halos
12.500 12.600 6.320 1.837 130612
12.600 12.700 5.714 1.821 141035
12.700 12.800 5.556 1.770 113010
12.800 12.900 5.437 1.711 87621
12.900 13.000 5.354 1.672 67895
13.000 13.100 5.261 1.636 52013
13.100 13.200 5.192 1.622 39755
13.200 13.300 5.131 1.593 30309
13.300 13.400 5.062 1.566 22509
13.400 13.500 4.979 1.540 16447
13.500 13.600 4.944 1.511 11984
13.600 13.700 4.844 1.448 8683
13.700 13.800 4.749 1.412 5920
13.800 13.900 4.664 1.335 3898
13.900 14.000 4.478 1.169 2389
14.000 14.100 3.829 0.907 826
