#vrms_min vrms_max mean_log_mass std_log_mass n_halos
300.000 350.000 12.518 0.099 326252
350.000 400.000 12.695 0.097 184496
400.000 450.000 12.851 0.097 107214
450.000 500.000 12.991 0.095 65410
500.000 550.000 13.116 0.095 41344
550.000 600.000 13.229 0.097 26397
600.000 650.000 13.335 0.097 17492
650.000 700.000 13.430 0.099 11616
700.000 750.000 13.519 0.101 7623
750.000 800.000 13.599 0.103 5419
800.000 850.000 13.675 0.105 3705
850.000 900.000 13.752 0.101 2538
900.000 950.000 13.815 0.111 1799
950.000 1000.000 13.886 0.106 1265
