#vrms_min vrms_max mean_log_mass std_log_mass n_halos
300.000 350.000 12.599 0.100 308707
350.000 400.000 12.780 0.098 174971
400.000 450.000 12.938 0.098 104203
450.000 500.000 13.079 0.096 64547
500.000 550.000 13.207 0.097 41695
550.000 600.000 13.321 0.098 27824
600.000 650.000 13.426 0.098 18384
650.000 700.000 13.524 0.099 12666
700.000 750.000 13.615 0.098 8817
750.000 800.000 13.696 0.101 6040
800.000 850.000 13.775 0.097 4289
850.000 900.000 13.847 0.103 3159
900.000 950.000 13.919 0.100 2211
950.000 1000.000 13.986 0.100 1607
