#log_min_mass log_max_mass mean_conc std_conc n_halos
12.500 12.600 5.493 1.795 156623
12.600 12.700 5.251 1.752 128955
12.700 12.800 5.150 1.694 100135
12.800 12.900 5.063 1.650 76138
12.900 13.000 4.992 1.617 57655
13.000 13.100 4.943 1.596 43205
13.100 13.200 4.870 1.571 32661
13.200 13.300 4.838 1.546 23822
13.300 13.400 4.801 1.521 17128
13.400 13.500 4.755 1.486 12230
13.500 13.600 4.768 1.485 8506
13.600 13.700 4.657 1.387 5942
13.700 13.800 4.611 1.326 3793
13.800 13.900 4.451 1.197 2238
13.900 14.000 3.967 0.898 988
14.000 14.100 3.232 0.561 77
