#log_min_mass log_max_mass mean_conc std_conc n_halos
12.500 12.600 8.316 2.652 19382
12.600 12.700 7.338 1.908 93355
12.700 12.800 6.580 1.859 123016
12.800 12.900 6.396 1.823 99768
12.900 13.000 6.244 1.763 79538
13.000 13.100 6.110 1.721 62727
13.100 13.200 6.012 1.689 49510
13.200 13.300 5.905 1.662 38648
13.300 13.400 5.824 1.646 30332
13.400 13.500 5.722 1.620 23411
13.500 13.600 5.607 1.619 18245
13.600 13.700 5.514 1.594 13732
13.700 13.800 5.432 1.537 10074
13.800 13.900 5.272 1.511 7559
13.900 14.000 5.198 1.434 5487
14.000 14.100 5.030 1.378 3803
14.100 14.200 4.604 1.198 1912
