#vrms_min vrms_max mean_log_mass std_log_mass n_halos
300.000 350.000 12.684 0.098 272531
350.000 400.000 12.867 0.097 157469
400.000 450.000 13.027 0.096 95357
450.000 500.000 13.171 0.094 60129
500.000 550.000 13.299 0.093 39622
550.000 600.000 13.416 0.092 26483
600.000 650.000 13.524 0.091 18407
650.000 700.000 13.622 0.093 12838
700.000 750.000 13.715 0.090 9114
750.000 800.000 13.797 0.095 6461
800.000 850.000 13.877 0.091 4806
850.000 900.000 13.948 0.095 3419
900.000 950.000 14.020 0.096 2621
950.000 1000.000 14.087 0.095 1936
