#vrms_min vrms_max mean_log_mass std_log_mass n_halos
300.000 350.000 12.542 0.099 322274
350.000 400.000 12.720 0.097 182153
400.000 450.000 12.876 0.096 106851
450.000 500.000 13.017 0.096 65348
500.000 550.000 13.141 0.098 41758
550.000 600.000 13.256 0.097 27035
600.000 650.000 13.361 0.099 17633
650.000 700.000 13.457 0.099 11856
700.000 750.000 13.546 0.102 8230
750.000 800.000 13.628 0.102 5503
800.000 850.000 13.706 0.102 3961
850.000 900.000 13.773 0.111 2699
900.000 950.000 13.849 0.105 1950
950.000 1000.000 13.912 0.105 1383
